removed_fraction,removed_nodes,gcc_fraction,gcc_size,num_components,avg_shortest_path_gcc,algebraic_connectivity_gcc,spectral_gap_ratio_gcc,kirchhoff_index_gcc
0.17,34,0.825,165,2,3.414338507021434,0.5895440270723411,21.60081052582188,9075.420591916709
0.175,35,0.82,164,2,3.4091725273080953,0.5864345855028671,21.715329347482097,8978.87220279364
0.18,36,0.81,162,3,3.39598190322828,0.5881631119826443,21.65144986077149,8672.779789970977
0.185,37,0.805,161,3,3.401552795031056,0.5851909917664003,21.75789182458329,8635.858892653307
0.19,38,0.8,160,3,3.3959905660377356,0.5855652966991254,21.69873926581878,8496.599000654904
0.195,39,0.795,159,3,3.4146166706472414,0.5855715361165814,21.646462571060578,8496.430555352032
0.2,40,0.79,158,3,3.4190921551237605,0.5757139273734846,22.01363139672362,8465.44792998692
0.205,41,0.785,157,3,3.4143393761228156,0.5759810512726059,22.003363247121975,8409.138346606134
0.21,42,0.78,156,3,3.4235732009925557,0.5759648908602221,21.992236449523915,8387.595372070753
0.215,43,0.775,155,3,3.425387515710096,0.5734298873118128,22.087518143238743,8298.153062684712
0.22,44,0.77,154,3,3.4160937102113573,0.5737960693633842,22.073396722387095,8164.267389563697
0.225,45,0.765,153,3,3.4100447196422428,0.5742105348378184,22.055953155809547,8019.939794234765
0.23,46,0.76,152,3,3.4261066573719066,0.5721190403940916,22.13507592452071,8042.657642894164
0.235,47,0.755,151,3,3.4424724061810155,0.5673498140367881,22.320431193625975,8136.303202971986
0.24,48,0.75,150,3,3.4496644295302015,0.5671621349726246,22.27316371456423,8080.960918714012
0.245,49,0.745,149,3,3.470705604933793,0.5601365783971072,22.5143090203208,8149.76126035819
0.25,50,0.74,148,3,3.468928111785255,0.5602738892701609,22.50876875514975,8079.738136066966
0.255,51,0.735,147,3,3.453918553722859,0.56188551913446,22.44420082179278,7829.130219466044
0.26,52,0.73,146,3,3.4693434104865375,0.5467795804115525,23.035369038492174,7828.836770669014
0.265,53,0.725,145,3,3.474712643678161,0.5426319349945238,23.209632771838763,7777.950171678146
0.27,54,0.72,144,3,3.4826146076146074,0.5387141876463462,23.37744525938386,7778.748110153487
0.275,55,0.715,143,3,3.4937456909287894,0.5369814773238687,23.429085775692812,7777.395425215234
0.28,56,0.71,142,3,3.4999500549395663,0.47527643480290116,26.47049165478787,7772.156829029363
0.285,57,0.705,141,3,3.5152988855116516,0.4751099619851097,26.44322444533841,7741.967573585445
0.29,58,0.7,140,3,3.5255909558067833,0.47090907439853935,26.652716473566038,7752.548649457605
0.295,59,0.695,139,3,3.534876446668752,0.4707490952478195,24.843209655005616,7696.199342032177
0.3,60,0.69,138,3,3.5480799746112344,0.4696854848891648,24.84210524422589,7700.646535605172
0.305,61,0.685,137,3,3.5460498067840276,0.4693263001765767,24.860354532712854,7698.276083444092
0.31,62,0.68,136,3,3.557298474945534,0.4616725953258324,25.219471672878473,7688.358759866539
0.315,63,0.675,135,3,3.552349364289663,0.46170449961829607,25.216818765420523,7602.308166428862
0.32,64,0.665,133,4,3.534176349965824,0.46583994388436645,23.629612658574253,7207.20240875121
0.325,65,0.66,132,4,3.5425630349294472,0.46529275947247717,23.60237100312585,7166.528070400443
0.33,66,0.655,131,4,3.540692894891368,0.4557453629520488,24.09523988669167,7122.0767140157295
0.335,67,0.65,130,4,3.5542039355992845,0.4473320418343656,24.547020742022188,7273.792984898801
0.34,68,0.645,129,4,3.5587451550387597,0.44618118055108436,24.540436809309224,7194.67221297993
0.345,69,0.64,128,4,3.591658464566929,0.44124557608933807,24.78507548830659,7337.08339812133
0.35,70,0.635,127,4,3.597175353080865,0.44118093245726486,24.669852167110573,7292.572414885875
0.355,71,0.63,126,4,3.616253968253968,0.4356984136047919,24.95893177115554,7306.9235563461025
0.36,72,0.62,124,5,3.590611067400997,0.4599060622129091,23.64135773502811,6923.38051387137
0.365,73,0.615,123,5,3.578168732506997,0.4604832126700727,23.61160065128585,6707.922155892633
0.37,74,0.61,122,5,3.5892155534480423,0.4599424254760238,22.181597747322034,6631.007412434301
0.375,75,0.605,121,5,3.58030303030303,0.46272793648750277,22.046892209413656,6539.444416920538
0.38,76,0.6,120,5,3.611624649859944,0.4282991658201678,23.74064029449185,6600.635312389861
0.385,77,0.595,119,5,3.6078906138726676,0.4284665497579937,23.730438375344022,6494.368251276759
0.39,78,0.59,118,5,3.62552513399971,0.42834695308212717,23.51519397498556,6468.952957972226
0.395,79,0.59,118,4,3.62552513399971,0.4283469530821265,23.51519397498556,6468.952957972226
0.4,80,0.585,117,4,3.6595932802829356,0.42654596263761013,23.612355791743372,6611.419157029375
0.405,81,0.58,116,4,3.6745127436281857,0.42525684923484863,23.666678879084788,6591.229555922572
0.41,82,0.575,115,4,3.6868039664378336,0.4143688544470398,24.235031174249883,6706.245616603155
0.415,83,0.57,114,4,3.6952336593696633,0.41434013542632353,24.217095386784543,6689.118500670443
0.42,84,0.565,113,4,3.7098609355246523,0.41445460876776363,24.032432498708015,6622.777523549499
0.425,85,0.56,112,4,3.7326254826254828,0.403990923124804,24.60063423064413,6723.957067785176
0.43,86,0.555,111,4,3.721212121212121,0.4050925709732027,24.533004133141596,6630.812100144766
0.435,87,0.55,110,4,3.7085904920767305,0.4090395228557957,24.250628568498943,6422.284754417951
0.44,88,0.545,109,4,3.714746856948692,0.40153753096890654,24.695412009504945,6385.591559617131
0.445,89,0.54,108,4,3.7258566978193146,0.40229351283527665,24.589913960680406,6288.492332960195
0.45,90,0.535,107,4,3.7772879562687356,0.23605665121305122,41.74757277464665,6512.524085778384
0.455,91,0.53,106,4,3.7940700808625336,0.2361704455257856,41.5273309872517,6603.6066458365995
0.46,92,0.52,104,5,3.8932038834951457,0.15376792390813232,63.71899360809367,6707.142983734913
0.465,93,0.515,103,5,3.9741100323624594,0.15346058581790023,63.7537922165574,6930.984887472041
0.47,94,0.51,102,5,3.978062512133566,0.15352981876913926,63.70903822355235,6852.0569016330855
